Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"University of Teacher Education, St. Gallen, Switzerland",University of St-Gall,10.1515/mult-2012-0008,http://dx.doi.org/10.1515/mult-2012-0008,"Linguicism in Hollywood movies? Representations of, and audience reactions to multilingualism in mainstream movie dialogues",Lukas Bleichenbacher,2012,Multilingua,"aff1 /// 1 ///  /// University of Teacher Education, St. Gallen, Switzerland"
"Paul Scherrer Institut, CH-S232 Villigen PSI, Switzerland",,10.1524/ract.1994.65.3.181,http://dx.doi.org/10.1524/ract.1994.65.3.181,Sorption of Nickel and Cobalt on a Size-Fraction of Unconsolidated Glaciofluvial Deposits and on Clay Minerals,A. Grütter /// H. R. von Gunten /// E. Rössler /// R. Keil,1994,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institut, CH-S232 Villigen PSI, Switzerland"
"Concretum Construction Science AG, Zurich, Switzerland",,10.1515/rbm-2006-6022,http://dx.doi.org/10.1515/rbm-2006-6022,Massenhydrophobierung von Beton mit Silan / Internal Impregnation of Concrete by Means of Silanes,S.J. Meier /// M.F. Bäuml,2006,Restoration of Buildings and Monuments,"aff1 /// 1 ///  /// Concretum Construction Science AG, Zurich, Switzerland"
"Swiss Economics and University of St. Gallen, Switzerland",University of St-Gall,10.1515/rle-2012-0007,http://dx.doi.org/10.1515/rle-2012-0007,Price Regulation and the Financing of Universal Services in Network Industries,Christian Jaag,2013,Review of Law & Economics,"aff1 /// 1 ///  /// Swiss Economics and University of St. Gallen, Switzerland"
"Department of Classics, University of Zurich, Zurich, Switzerland",University of Zurich,10.1515/flin-2015-0014,http://dx.doi.org/10.1515/flin-2015-0014,On degrammaticalization: Controversial points and possible explanations,Carlotta Viti,2015,Folia Linguistica,"aff1 /// 1 ///  /// Department of Classics, University of Zurich, Zurich, Switzerland"
"Department of Paediatrics, Cantonal Hospital Fribourg, Switzerland",,10.1515/cclm.2011.801,http://dx.doi.org/10.1515/cclm.2011.801,Leptin levels in exhaled breath condensate from asthmatic children: a pilot study,Demet Inci /// Pavel Basek /// Johannes H. Wildhaber /// Alexander Moeller,2012,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Division of Respiratory Medicine, University Children’s Hospital, Zürich, Switzerland /// aff2 /// 2 ///  /// Department of Paediatrics, Cantonal Hospital Fribourg, Switzerland"
"Anorganisch-Chemisches Institut, Universität Bern, CH-3000 Bern, Switzerland and *Eidg. Institut für Reaktorforschung, CH-6303 Wiirenlingen, Switzerland",University of Bern,10.1524/ract.1974.21.34.200,http://dx.doi.org/10.1524/ract.1974.21.34.200,Absolute Yields of Mo in the Thermal Neutron-Induced Fission of U and Pu,CLAUDINE EGGER /// H. R. VON GUNTEN /// A. SCHMID /// H . S. PKUTS,1974,Radiochimica Acta,"aff1 /// 1 ///  /// Anorganisch-Chemisches Institut, Universität Bern, CH-3000 Bern, Switzerland and *Eidg. Institut für Reaktorforschung, CH-6303 Wiirenlingen, Switzerland"
"Institute for Clinical Chemistry, University Hospital Zurich, Switzerland",University of Zurich,10.1515/CCLM.2010.295,http://dx.doi.org/10.1515/CCLM.2010.295,Laboratory diagnostics in acute poisoning: critical overview,Katharina M. Rentsch,2010,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Institute for Clinical Chemistry, University Hospital Zurich, Switzerland"
" Institute of Microtechnology, University of Neuchâtel, 2000 Neuchâtel, Switzerland ",,10.1515/bmte.1990.35.s2.23,http://dx.doi.org/10.1515/bmte.1990.35.s2.23,Microfabricated Sensors for Medical Applications,Den Kloeck /// Nicolaas F. de Rooij,1990,Biomedizinische Technik/Biomedical Engineering,"aff1 ///  Institute of Microtechnology, University of Neuchâtel, 2000 Neuchâtel, Switzerland "
"International Economic Law, World Trade Institute, Berne, Switzerland",,10.1515/ldr-2013-0023,http://dx.doi.org/10.1515/ldr-2013-0023,Revisiting African States Participation in the WTO Dispute Settlement through Intra-Africa RTA Dispute Settlement,Malebakeng Forere,2013,The Law and Development Review,"aff1 /// 1 ///  /// International Economic Law, World Trade Institute, Berne, Switzerland"
"Bereich Medizin, Kantonsspital Aarau, Aarau, Switzerland",,10.1515/JLM.2008.063et,http://dx.doi.org/10.1515/JLM.2008.063et,Procalcitonin: Importance for the diagnosis of bacterial infections,Mirjam Christ-Crain /// Philipp Schuetz /// Andreas R. Huber /// Beat Müller,2008,LaboratoriumsMedizin,"a1 /// 1 ///  /// Bereich Innere Medizin, Universitätsspital Basel, Switzerland /// a2 /// 2 ///  /// Bereich Innere Medizin, Universitätsspital Basel, Switzerland /// a3 /// 3 ///  /// Center for Laboratory Medicine, Kantonsspital Aarau, Aarau, Switzerland /// a4 /// 4 ///  /// Bereich Medizin, Kantonsspital Aarau, Aarau, Switzerland"
"Paul Scherrer Institute, CH-5232 Villigen PSI, Switzerland",,10.1524/ract.1996.72.1.7,http://dx.doi.org/10.1524/ract.1996.72.1.7,Gas Phase Chemistry Experiments with Transactinide Elements,A. Türler,1996,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institute, CH-5232 Villigen PSI, Switzerland"
"IMAC - DGC - EPFL, CH-1015 Lausanne Switzerland",EPFL,10.1515/rbm-2001-5574,http://dx.doi.org/10.1515/rbm-2001-5574,Lessons Learned in the Use of Fiber Optic Sensor for Civil Structural Monitoring / Erfahrungen aus der Anwendung faseroptischer Sonden für die Überwachung von Tragwerken,D. Inaudi /// N. Casanova /// B. Glisic /// S. Vurpillot /// P. Kronenberg /// S. Lloret,2001,Restoration of Buildings and Monuments,"aff1 /// 1 ///  /// SMARTEC SA, Via al Molino 6,CH-6916 GRANCIA, Switzerland / IMAC - DGC - EPFL, CH-1015 Lausanne Switzerland /// aff2 /// 2 ///  /// SMARTEC SA, Via al Molino 6,CH-6916 GRANCIA, Switzerland /// aff3 /// 3 ///  /// IMAC - DGC - EPFL, CH-1015 Lausanne Switzerland"
"Institute of Physics, University, CH-1700 Fribourg, Switzerland",University of Fribourg,10.1524/zpch.1994.183.Part_1_2.355,http://dx.doi.org/10.1524/zpch.1994.183.Part_1_2.355,"Effect of Partial Substitution of Nickel in AB-Type Zr-Ni Alloys by V, Cr and Mn on the Surface- and Bulk-Properties in View of Battery Applications*",A. Züttel /// F. Meli /// L. Schlapbach,1994,Zeitschrift für Physikalische Chemie,"a1 /// Institute of Physics, University, CH-1700 Fribourg, Switzerland"
"Institute of Social and Preventive Medicine, University of Bern, Bern, Switzerland",University of Bern,10.1515/em-2015-0022,http://dx.doi.org/10.1515/em-2015-0022,"Comment on: ‘Screening’ for Breast Cancer: Misguided Research Misinforming Public Policies, by O. S. Miettinen",Karin Huwiler /// Beat Thürlimann /// Thomas Cerny /// Marcel Zwahlen,2015,Epidemiologic Methods,"aff1 /// 1 ///  /// Swiss Cancer League, Bern, Switzerland /// aff2 /// 2 ///  /// Breast Center, Cantonal Hospital St. Gallen, St. Gallen, Switzerland /// aff3 /// 3 ///  /// Oncosuisse, Bern, Switzerland /// aff4 /// 4 ///  /// Institute of Social and Preventive Medicine, University of Bern, Bern, Switzerland"
"Department of Nuclear Medicine, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland",,10.1515/CCLM.2007.309,http://dx.doi.org/10.1515/CCLM.2007.309,Redefining functional sensitivity of thyroglobulin assay on Immulite platform: implications in thyroid cancer management,Luca Giovanella /// Luca Ceriani /// Antonella Ghelfo,2007,Clinical Chemical Laboratory Medicine,"a1 /// 1 ///  /// Department of Nuclear Medicine, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland and Department of Clinical Chemistry, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// a2 /// 2 ///  /// Department of Nuclear Medicine, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// a3 /// 3 ///  /// Laboratory for Endocrinology and Tumour Markers, University Hospital and Fondazione Macchi, Varese, Italy"
"University Hospital Lausanne, Lausanne, Switzerland",University of Lausanne,10.1515/labmed-2011-0013,http://dx.doi.org/10.1515/labmed-2011-0013,"Monographs on drugs which are frequently analyzed in therapeutic drug monitoring/Arzneimittel-Monographien für Medikamente, die regelmäßig im Rahmen des Therapeutic Drug Monitorings analysiert werden",Working Group “Drug Monitoring” of the SSCC: /// Katharina Rentsch /// Daniela Buhl /// Chin Bin Eap /// Marc Fathi /// Wolfgang Thormann /// Dominique Werner,2012,LaboratoriumsMedizin,"aff1 /// 1 ///  /// University Hospital Basel, Basel, Switzerland /// aff2 /// 2 ///  /// Hospital Solothurn, Solothurn, Switzerland /// aff3 /// 3 ///  /// University Hospital Lausanne, Prilly, Switzerland /// aff4 /// 4 ///  /// University Hospital Genf, Genf, Switzerland /// aff5 /// 5 ///  /// University of Bern, Bern, Switzerland /// aff6 /// 6 ///  /// University Hospital Lausanne, Lausanne, Switzerland"
"Institut d'Optique Appliquée, EPFL, CH-1015 Lausanne, Switzerland.",EPFL,10.1515/bmte.1996.41.s1.478,http://dx.doi.org/10.1515/bmte.1996.41.s1.478,Performances of Micro-Endoscopy in Less Invasive Surgery,Ch. Depeursinge /// R. Conde,1996,Biomedizinische Technik/Biomedical Engineering,"aff1 /// Institut d'Optique Appliquée, EPFL, CH-1015 Lausanne, Switzerland."
"Center for Laboratory Medicine, St. Gallen, Switzerland",,10.1515/cclm-2012-0625,http://dx.doi.org/10.1515/cclm-2012-0625,Advancing haemostasis automation – successful implementation of robotic centrifugation and sample processing in a tertiary service hospital,Nazanin Sédille-Mostafaie /// Hanna Engler /// Susanne Lutz /// Wolfgang Korte,2013,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Center for Laboratory Medicine, St. Gallen, Switzerland"
"Department of Obstetrics, Zurich University Hospital, Switzerland",University of Zurich,10.1515/JPM.2004.131,http://dx.doi.org/10.1515/JPM.2004.131,"Maternal serum interleukin-1β, -6 and -8 levels and potential determinants in pregnancy and peripartum",Gundula Hebisch /// Peruka M. Neumaier-Wagner /// Renate Huch /// Ursula von Mandach,2004,Journal of Perinatal Medicine,"a1 /// 1.  ///  /// Department of Obstetrics, Zurich University Hospital, Switzerland /// a2 /// 2.  ///  /// Department of Obstetrics, Zurich University Hospital, Switzerland /// a3 /// 3.  ///  /// Department of Obstetrics, Zurich University Hospital, Switzerland /// a4 /// 4.  ///  /// Department of Obstetrics, Zurich University Hospital, Switzerland"
"Graduate Institute of International Studies, Geneva, Switzerland",,10.2202/1554-8597.1046,http://dx.doi.org/10.2202/1554-8597.1046,"Property Rights, State Structures, and International Cooperation",Urs Luterbacher,2001,"Peace Economics, Peace Science and Public Policy","a1 /// 1 ///  /// Graduate Institute of International Studies, Geneva, Switzerland"
"BMG Engineering AG, CH-8952 ScMieren/Switzerland",,10.1515/rbm-1996-5133,http://dx.doi.org/10.1515/rbm-1996-5133,Umweltverträglichkeit von Betonzusatzmitteln / Environmental Impact of Superplasticizers,R. Galli /// G. Kiayias,1996,Restoration of Buildings and Monuments,"aff1 /// 1 ///  /// BMG Engineering AG, CH-8952 ScMieren/Switzerland"
"ΝAGRA, Switzerland",,10.1524/ract.1994.6667.special-issue.267,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.267,Comparison of Sorption Databases Used in Recent Performance Assessments Involving Crystalline Host Rock,Michael J. Stenhouse /// Jürgen Pöttinger,1994,Radiochimica Acta,"aff1 /// 1 ///  /// Intera Information Technologies Inc. /// aff2 /// 2 ///  /// ΝAGRA, Switzerland"
"Paul Scherrer Institut, CH-5232 Villigen PSI, Switzerland",,10.1524/ract.1995.7071.special-issue.305,http://dx.doi.org/10.1524/ract.1995.7071.special-issue.305,Radioactivity: A Tool to Explore the Past,Hans R. von Gunten,1995,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institut, CH-5232 Villigen PSI, Switzerland"
"Department of Radiology and Nuclear Medicine, Stadtspital Waid, Zurich, Switzerland",,10.1515/cclm-2015-0117,http://dx.doi.org/10.1515/cclm-2015-0117,Potentiometric measurement of urinary iodine concentration in patients with thyroid diseases with and without previous exposure to non-radioactive iodine,Giampiero Giovacchini /// Luca Giovanella /// Andreas Haldemann /// Uwe Staub /// Frank G. Füchsel /// Peter Koch,2015,Clinical Chemistry and Laboratory Medicine (CCLM),"aff1 /// 1 ///  /// Institute of Radiology and Nuclear Medicine, Stadtspital Triemli, Zurich, Switzerland /// aff2 /// 2 ///  /// Oncology Institute of Southern Switzerland, Division of Nuclear Medicine and Thyroid Centre, Bellinzona, Switzerland /// aff3 /// 3 ///  /// Department of Radiology and Nuclear Medicine, Stadtspital Waid, Zurich, Switzerland"
"Musikwissenschaftliches Institut, Florhofgasse 11, 8001 Zürich, Switzerland.",,10.1515/asia-2015-0008,http://dx.doi.org/10.1515/asia-2015-0008,"Graf, Matthias: Mazzīkā! Eine arabistisch-ethnomusikologische Exkursion in die Text- und Klangwelten der Popmusik Ägyptens und des Libanon von ihren Anfängen bis heute",Lebedeva Nadejda,2015,Asiatische Studien - Études Asiatiques,"aff1 /// 1 ///  /// Musikwissenschaftliches Institut, Florhofgasse 11, 8001 Zürich, Switzerland."
"Insitute for Medical and Analytical Technologies, University of Applied Sciences and Arts Northwestern Switzerland, Switzerland",,10.1515/bmt-2013-4040,http://dx.doi.org/10.1515/bmt-2013-4040,Optimization of a Miniaturized Electrospray Device by Combining High Speed Video Imaging and Fem Modelling,S Böhringer /// C Kalle /// D Hradetzky,2013,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Insitute for Medical and Analytical Technologies, University of Applied Sciences and Arts Northwestern Switzerland, Switzerland"
"Department of Psychology, University of Zurich, Switzerland",University of Zurich,10.1515/humor-2013-0046,http://dx.doi.org/10.1515/humor-2013-0046,The state-of-the art in gelotophobia research: A review and some theoretical extensions,Willibald Ruch /// Jennifer Hofmann /// Tracey Platt /// René Proyer,2014,HUMOR,"aff1 /// 1 ///  /// Department of Psychology, University of Zurich, Switzerland"
"Optech Consulting, Bahnhofstr. 20A, 8274 Tägerwilen, Switzerland",,10.1515/aot-2012-0053,http://dx.doi.org/10.1515/aot-2012-0053,Laser materials processing market reaches record high,Arnold Mayer,2012,Advanced Optical Technologies,"aff1 /// 1 ///  /// Optech Consulting, Bahnhofstr. 20A, 8274 Tägerwilen, Switzerland"
"Institute for Biomechanics, ETH Zurich, Switzerland",ETH Zurich,10.1515/BMT.2008.045,http://dx.doi.org/10.1515/BMT.2008.045,MRI-based inverse finite element approach for the mechanical assessment of patellar articular cartilage from static compression test / MRT-basierter Finite-Elemente-Ansatz zur mechanischen Beurteilung von patellarem Gelenkknorpel aus statischen Kompressionsversuchen,Sven Knecht /// Roger Luechinger /// Peter Boesiger /// Edgar Stüssi,2008,Biomedizinische Technik/Biomedical Engineering,"a1 /// 1 ///  /// Institute for Biomechanics, ETH Zurich, Switzerland /// a2 /// 2 ///  /// Institute for Biomedical Engineering, University and ETH Zurich, Switzerland /// a3 /// 3 ///  /// Institute for Biomedical Engineering, University and ETH Zurich, Switzerland /// a4 /// 4 ///  /// Institute for Biomechanics, ETH Zurich, Switzerland"
"Laboratory of Behavioural Neurobiology, ETH Zurich, Switzerland",ETH Zurich,10.1515/jpm.2010.192,http://dx.doi.org/10.1515/jpm.2010.192,Prenatal Infections and Long-Term Mental Outcome,Joram Feldon,2010,Journal of Perinatal Medicine,"aff1 /// 1 ///  /// Laboratory of Behavioural Neurobiology, ETH Zurich, Switzerland"
"Department of Neonatology, University Children's Hospital, Basel, Switzerland",University of Basel,10.1515/JPM.2005.032,http://dx.doi.org/10.1515/JPM.2005.032,Incidence and diagnosis of unilateral arterial cerebral infarction in newborn infants,Sven Schulzke /// Peter Weber /// Juerg Luetschg /// Hubert Fahnenstich,2005,Journal of Perinatal Medicine,"a1 /// 1.  ///  /// Department of Neonatology, University Children's Hospital, Basel, Switzerland /// a2 /// 2.  ///  /// Department of Neuropediatrics, University Children's Hospital, Basel, Switzerland /// a3 /// 3.  ///  /// Department of Neuropediatrics, University Children's Hospital, Basel, Switzerland /// a4 /// 4.  ///  /// Department of Neonatology, University Children's Hospital, Basel, Switzerland"
"Paul Scherrer Institut, 5232 Villigen PSI, Switzerland",,10.1351/pac200577030631,http://dx.doi.org/10.1351/pac200577030631,Solubility equilibria and geochemical modeling in the field of radioactive waste disposal,W. Hummel,2005,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Paul Scherrer Institut, 5232 Villigen PSI, Switzerland"
"Paul Scherrer Institute, CH-5232 Villigen PSI, Switzerland",,10.1524/ract.1993.62.12.81,http://dx.doi.org/10.1524/ract.1993.62.12.81,"The Sorption of Pb, Bi and Po on Montmorillonite: A Study with Emphasis on Reversibility Aspects and on the Effect of the Radioactive Decay of Adsorbed Nuclides",H. J. Ulrich /// C. Degueldre,1993,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institute, CH-5232 Villigen PSI, Switzerland"
